店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
やきとり会席 炭寅 はなれ,050-5487-7571,,福岡県,福岡市博多区博多駅中央街,4-23,オリエンタルホテル福岡 博多ステーションB1,https://fukuoka-sumitorahanare.gorp.jp/,True
博多中洲 遊食亭,050-5487-2439,,福岡県,福岡市博多区中洲四丁目,7-21,赤玉ビル2F,https://yushokutei.gorp.jp/,True
炙り炉端 山尾 博多駅前,050-1721-4038,,福岡県,福岡市博多区博多駅前三丁目,22-5,Mビル2号館B1,,
博多かんべえ 中洲邸 イカ活造りと個室,050-5488-8372,,福岡県,福岡市博多区中洲五丁目,4-23,1F,https://fanp700.gorp.jp/,True
博多魚がし海の路 天神店,050-5484-2038,,福岡県,福岡市中央区天神一丁目,12-3,天神町木村家ビルB1,,
薪焼きともつ鍋 桂香‐KEIKA‐ 博多西中洲,050-5494-3259,,福岡県,福岡市中央区西中洲,1-13,松田ビル1F,https://fbza304.gorp.jp/,True
博多壱,050-5486-2828,suitoya@po.mmm.ne.jp,福岡県,福岡市博多区博多駅前二丁目,10-12,,https://f024902.gorp.jp/,True
浪漫座 博多 総本店,092-710-6170,,福岡県,福岡市博多区博多駅東一丁目,1-33,B1,https://fc2e001.gorp.jp/,True
あごだしもつ鍋と旬の野菜 はがくれ,050-5489-0809,,福岡県,福岡市博多区中洲五丁目,5-9,サン・ゴールデンビル1F,https://fc4p800.gorp.jp/,True
水炊き うちょうてん,050-5485-6562,,福岡県,北九州市小倉北区,鍛治町1-4-2,,https://fap0000.gorp.jp/,True
大名 つつじ庵,050-5486-0409,,福岡県,福岡市中央区大名二丁目,9-2,福岡共栄火災ビル1F・B1,https://f030107.gorp.jp/,True
博多牛たん たん博,050-5492-7043,,福岡県,福岡市博多区中洲四丁目,1-21,,https://fc45900.gorp.jp/,True
博多もつ鍋 嘉祥,050-5493-3352,,福岡県,福岡市博多区博多駅前四丁目,5-6,ラフレシール博多2F,https://fc3s700.gorp.jp/,True
振る舞い処 水魚,050-5487-6027,,福岡県,福岡市中央区春吉三丁目,14-7,,https://fc3g300.gorp.jp/,True
博多もつ鍋 こうづき 本店,050-5492-9898,,福岡県,福岡市中央区薬院二丁目,14-29,,https://f488609.gorp.jp/,True
博多かんべえ 祇園邸 イカ活造りと個室,050-5488-8371,,福岡県,福岡市博多区住吉一丁目,6-10,,https://fanp703.gorp.jp/,True
博多 なぎの木 西中洲離れ,050-5485-0661,info@nagino.co.jp,福岡県,福岡市中央区西中洲,12-19,,https://f350202.gorp.jp/,True
個室居酒屋 九州和食 八州 博多駅筑紫口店,050-5486-8394,,福岡県,福岡市博多区博多駅東一丁目,13-31,駅東サンシティビル7F,https://hassyu-hakata.gorp.jp/,True
月のしずく,092-713-5566,,福岡県,福岡市中央区天神一丁目,4-2,大丸福岡天神店東館エルガーラ6F,https://fbrg402.gorp.jp/,True
活きイカともつ鍋 個室居酒屋 天王‐てんおう‐ 天神南店,050-5485-0584,,福岡県,福岡市中央区春吉三丁目,21-28,6F,https://f389400.gorp.jp/,True
水炊き 積 大名店,050-5484-9596,,福岡県,福岡市中央区大名一丁目,10-16,RAGAZZA大名2F,https://fc5w600.gorp.jp/,True
ぢどり屋 大和 本館,050-5486-4495,,福岡県,福岡市博多区冷泉町,2-12,,https://f075500.gorp.jp/,True
能加万菜 万庭 博多祇園店,050-5493-0567,,福岡県,福岡市博多区博多駅前二丁目,8-15,三井ガーデンホテル福岡祇園1F,https://fc4w100.gorp.jp/,True
全席個室居酒屋 九州和食 八州 中洲店,050-5494-6635,,福岡県,福岡市博多区中洲五丁目,2-3,福岡中洲松居壱番館2F,https://fbw8912.gorp.jp/,True
博多水たき 濱田屋 本店,050-5486-6625,,福岡県,福岡市博多区住吉一丁目,1-9,RJRプレシア博多2F,https://fasv401.gorp.jp/,True
あべこべ,050-5487-4179,,福岡県,久留米市本町,12-14,,https://abekobe-fukuoka.gorp.jp/,True
博多水たき 濱田屋 天神店,050-5487-3775,,福岡県,福岡市中央区天神二丁目,2-20,警固神社社務所ビル2F,https://fasv404.gorp.jp/,True
博多水炊き hiro,090-9566-6883,,福岡県,福岡市中央区渡辺通三丁目,1-1,TKビル3F,https://fc3c900.gorp.jp/,True
